Exp ID / Name,Status,Purpose,Input,Target,Model / Change,Losses,Key Params,Dataset / Split,Metrics,Main Finding,Failure Mode,Keep?,Source
exp361 / echodiffusion,PASSED,EchoDiffusion,binaural spec + raw waveform,ERP depth,echodiffusion,BerHu + SILog depth; Wav2Vec/CIDE conditioning,"lr=5e-5, bs=16, best_ep=8",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2419, AbsRel=0.4793, δ1=0.4926, δ2=0.7033, δ3=0.8258, Log10=0.1590, MAE=0.8010",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp361 / echodiffusion,PASSED,EchoDiffusion,binaural spec + raw waveform,ERP depth,echodiffusion,BerHu + SILog depth; Wav2Vec/CIDE conditioning,"lr=5e-5, bs=48, best_ep=8",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2396, AbsRel=0.5748, δ1=0.4713, δ2=0.6860, δ3=0.8110, Log10=0.1720, MAE=0.8511",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp362 / echodiffusion,PASSED,EchoDiffusion,binaural spec + raw waveform,ERP depth,echodiffusion,BerHu + SILog depth; Wav2Vec/CIDE conditioning,"lr=1e-4, bs=32, best_ep=8",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2292, AbsRel=0.4557, δ1=0.4923, δ2=0.7098, δ3=0.8314, Log10=0.1569, MAE=0.7907",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp363 / echodiffusion,PASSED,EchoDiffusion,binaural spec + raw waveform,ERP depth,echodiffusion,BerHu + SILog depth; Wav2Vec/CIDE conditioning,"lr=5e-4, bs=16, best_ep=20",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2307, AbsRel=0.5035, δ1=0.4861, δ2=0.6982, δ3=0.8218, Log10=0.1627, MAE=0.8118",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp363 / echodiffusion,PASSED,EchoDiffusion,binaural spec + raw waveform,ERP depth,echodiffusion,BerHu + SILog depth; Wav2Vec/CIDE conditioning,"lr=5e-4, bs=48, best_ep=28",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2198, AbsRel=0.4482, δ1=0.4936, δ2=0.7097, δ3=0.8328, Log10=0.1546, MAE=0.7772",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp365 / pretrained_resnet,PASSED,Pretrained ResNet,binaural spec adapted to pseudo-RGB,ERP depth,pretrained_resnet,BerHu + SILog depth unless noted,"lr=1e-4, bs=32, best_ep=8",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.3154, AbsRel=0.5554, δ1=0.4688, δ2=0.6761, δ3=0.8044, Log10=0.1732, MAE=0.8663",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp366 / pretrained_resnet,PASSED,Pretrained ResNet,binaural spec adapted to pseudo-RGB,ERP depth,pretrained_resnet,BerHu + SILog depth unless noted,"lr=5e-5, bs=32, best_ep=4",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.3332, AbsRel=0.5022, δ1=0.4482, δ2=0.6641, δ3=0.7982, Log10=0.1751, MAE=0.8658",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp367 / pretrained_resnet,PASSED,Pretrained ResNet,binaural spec adapted to pseudo-RGB,ERP depth,pretrained_resnet,BerHu + SILog depth unless noted,"lr=5e-4, bs=160, best_ep=16",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.3413, AbsRel=0.5171, δ1=0.4636, δ2=0.6690, δ3=0.7982, Log10=0.1750, MAE=0.8685",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp367 / pretrained_resnet,PASSED,Pretrained ResNet,binaural spec adapted to pseudo-RGB,ERP depth,pretrained_resnet,BerHu + SILog depth unless noted,"lr=5e-4, bs=32, best_ep=8",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2906, AbsRel=0.5373, δ1=0.4638, δ2=0.6784, δ3=0.8089, Log10=0.1708, MAE=0.8504",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp368 / pretrained_resnet,PASSED,Pretrained ResNet,binaural spec adapted to pseudo-RGB,ERP depth,pretrained_resnet,BerHu + SILog depth unless noted,"lr=1e-4, bs=16, best_ep=4",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2748, AbsRel=0.5274, δ1=0.4722, δ2=0.6849, δ3=0.8108, Log10=0.1667, MAE=0.8298",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp368 / pretrained_resnet,PASSED,Pretrained ResNet,binaural spec adapted to pseudo-RGB,ERP depth,pretrained_resnet,BerHu + SILog depth unless noted,"lr=1e-4, bs=96, best_ep=12",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.3213, AbsRel=0.5183, δ1=0.4668, δ2=0.6747, δ3=0.8020, Log10=0.1716, MAE=0.8549",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp301 / renew_single,PASSED except exp390 viz crash noted separately,Renew dual-ViT sound-field bottleneck,binaural spectrogram; predicted SH/sound-field bottleneck,ERP depth + FOA/SH/energy auxiliary,renew_single,Depth + λ_sh + λ_energy + λ_kl_energy depending config,"lr=1e-4, bs=16, best_ep=12, FOA_L1=0.3331",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.0994, AbsRel=0.4492, δ1=0.4859, Log10=0.1580, MAE=0.6847, FOA_COS=0.7346, FOA_DIR=-0.1203",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
exp302 / renew_single (v2),PASSED except exp390 viz crash noted separately,Renew dual-ViT sound-field bottleneck,binaural spectrogram; predicted SH/sound-field bottleneck,ERP depth + FOA/SH/energy auxiliary,renew_single (v2),Depth + λ_sh + λ_energy + λ_kl_energy depending config,"lr=1e-4, bs=32, best_ep=16, FOA_L1=0.0231",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.0921, AbsRel=0.4615, δ1=0.5023, Log10=0.1575, MAE=0.6798, FOA_COS=0.9985, FOA_DIR=0.9963",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
exp303 / renew_dpt_only,PASSED except exp390 viz crash noted separately,Renew DPT-only ablation,binaural spectrogram; predicted SH/sound-field bottleneck,ERP depth + FOA/SH/energy auxiliary,renew_dpt_only,Depth + λ_sh + λ_energy + λ_kl_energy depending config,"lr=1e-4, bs=32, best_ep=12, FOA_L1=0.0240",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.0999, AbsRel=0.4685, δ1=0.4928, Log10=0.1589, MAE=0.6882, FOA_COS=0.9986, FOA_DIR=0.9964",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
exp304 / renew_dpt_only (no-KL),PASSED except exp390 viz crash noted separately,Renew DPT-only ablation,binaural spectrogram; predicted SH/sound-field bottleneck,ERP depth + FOA/SH/energy auxiliary,renew_dpt_only (no-KL),Depth + λ_sh + λ_energy + λ_kl_energy depending config,"lr=1e-4, bs=32, best_ep=8, FOA_L1=0.0248",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.0696, AbsRel=0.5011, δ1=0.4916, Log10=0.1586, MAE=0.6845, FOA_COS=0.9985, FOA_DIR=0.9962",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
exp305 / renew_single (radial),PASSED except exp390 viz crash noted separately,Renew dual-ViT sound-field bottleneck,binaural spectrogram; predicted SH/sound-field bottleneck,ERP depth + FOA/SH/energy auxiliary,renew_single (radial),Depth + λ_sh + λ_energy + λ_kl_energy depending config,"lr=1e-4, bs=32, best_ep=28, FOA_L1=0.2923",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2510, AbsRel=0.4575, δ1=0.5045, Log10=0.1580, MAE=0.7936, FOA_COS=0.8347, FOA_DIR=0.6250",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
exp306 / renew_single (radial v2),PASSED except exp390 viz crash noted separately,Renew dual-ViT sound-field bottleneck,binaural spectrogram; predicted SH/sound-field bottleneck,ERP depth + FOA/SH/energy auxiliary,renew_single (radial v2),Depth + λ_sh + λ_energy + λ_kl_energy depending config,"lr=1e-4, bs=32, best_ep=18, FOA_L1=0.0238",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2233, AbsRel=0.4742, δ1=0.5033, Log10=0.1554, MAE=0.7835, FOA_COS=0.9986, FOA_DIR=0.9965",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
exp307 / renew_dpt_only (radial),PASSED except exp390 viz crash noted separately,Renew DPT-only ablation,binaural spectrogram; predicted SH/sound-field bottleneck,ERP depth + FOA/SH/energy auxiliary,renew_dpt_only (radial),Depth + λ_sh + λ_energy + λ_kl_energy depending config,"lr=1e-4, bs=32, best_ep=6, FOA_L1=0.0275",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2540, AbsRel=0.4414, δ1=0.4761, Log10=0.1600, MAE=0.8010, FOA_COS=0.9981, FOA_DIR=0.9956",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
exp308 / renew_dpt_only (radial no-KL),PASSED except exp390 viz crash noted separately,Renew DPT-only ablation,binaural spectrogram; predicted SH/sound-field bottleneck,ERP depth + FOA/SH/energy auxiliary,renew_dpt_only (radial no-KL),Depth + λ_sh + λ_energy + λ_kl_energy depending config,"lr=1e-4, bs=32, best_ep=8, FOA_L1=0.0279",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2353, AbsRel=0.4501, δ1=0.4873, Log10=0.1568, MAE=0.7895, FOA_COS=0.9984, FOA_DIR=0.9960",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
exp390 / n9_0424 (A),PASSED except exp390 viz crash noted separately,N9_0424 implicit sound-field projection fusion,binaural spectrogram; predicted rep_gt proxy,ERP depth + FOA/SH/energy auxiliary,n9_0424 (A),Depth + weighted_rep_loss + optional projection energy loss,"lr=1e-4, bs=8, best_ep=12, FOA_L1=0.0644",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2274, AbsRel=0.4739, δ1=0.4795, Log10=0.1597, MAE=0.7939, FOA_COS=-0.0755, FOA_DIR=0.0130",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
exp391 / n9_0424 (A),PASSED except exp390 viz crash noted separately,N9_0424 implicit sound-field projection fusion,binaural spectrogram; predicted rep_gt proxy,ERP depth + FOA/SH/energy auxiliary,n9_0424 (A),Depth + weighted_rep_loss + optional projection energy loss,"lr=5e-5, bs=32, best_ep=8, FOA_L1=0.1521",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2349, AbsRel=0.4474, δ1=0.4835, Log10=0.1569, MAE=0.7872, FOA_COS=-0.3093, FOA_DIR=-0.0165",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
"exp392 / n9_0424 (B, lsh0.05)",PASSED except exp390 viz crash noted separately,N9_0424 implicit sound-field projection fusion,binaural spectrogram; predicted rep_gt proxy,ERP depth + FOA/SH/energy auxiliary,"n9_0424 (B, lsh0.05)",Depth + weighted_rep_loss + optional projection energy loss,"lr=1e-4, bs=64, best_ep=16, FOA_L1=0.0110",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2198, AbsRel=0.4685, δ1=0.4976, Log10=0.1554, MAE=0.7833, FOA_COS=0.2824, FOA_DIR=0.1023",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
"exp396 / n9_0424 (C, lsh0.05)",PASSED except exp390 viz crash noted separately,N9_0424 implicit sound-field projection fusion,binaural spectrogram; predicted rep_gt proxy,ERP depth + FOA/SH/energy auxiliary,"n9_0424 (C, lsh0.05)",Depth + weighted_rep_loss + optional projection energy loss,"lr=1e-4, bs=64, best_ep=20, FOA_L1=0.0123",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2379, AbsRel=0.4646, δ1=0.4972, Log10=0.1575, MAE=0.7937, FOA_COS=0.4817, FOA_DIR=0.1158",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
"exp397 / n9_0424 (C, lsh0.1)",PASSED except exp390 viz crash noted separately,N9_0424 implicit sound-field projection fusion,binaural spectrogram; predicted rep_gt proxy,ERP depth + FOA/SH/energy auxiliary,"n9_0424 (C, lsh0.1)",Depth + weighted_rep_loss + optional projection energy loss,"lr=1e-4, bs=64, best_ep=12, FOA_L1=0.0204",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2489, AbsRel=0.4859, δ1=0.4765, Log10=0.1629, MAE=0.8102, FOA_COS=0.2982, FOA_DIR=-0.0081",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
"exp398 / n9_0424 (C, lsh0.05)",PASSED except exp390 viz crash noted separately,N9_0424 implicit sound-field projection fusion,binaural spectrogram; predicted rep_gt proxy,ERP depth + FOA/SH/energy auxiliary,"n9_0424 (C, lsh0.05)",Depth + weighted_rep_loss + optional projection energy loss,"lr=5e-5, bs=64, best_ep=12, FOA_L1=0.0171",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2228, AbsRel=0.5135, δ1=0.4861, Log10=0.1618, MAE=0.8058, FOA_COS=0.2313, FOA_DIR=-0.0063",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
"exp399 / n9_0424 (C, lsh0.05)",PASSED except exp390 viz crash noted separately,N9_0424 implicit sound-field projection fusion,binaural spectrogram; predicted rep_gt proxy,ERP depth + FOA/SH/energy auxiliary,"n9_0424 (C, lsh0.05)",Depth + weighted_rep_loss + optional projection energy loss,"lr=3e-4, bs=64, best_ep=20, FOA_L1=0.0085",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2331, AbsRel=0.5075, δ1=0.4822, Log10=0.1614, MAE=0.8074, FOA_COS=0.4705, FOA_DIR=0.1256",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
"exp400 / n9_0424 (C, lsh0.05)",PASSED except exp390 viz crash noted separately,N9_0424 implicit sound-field projection fusion,binaural spectrogram; predicted rep_gt proxy,ERP depth + FOA/SH/energy auxiliary,"n9_0424 (C, lsh0.05)",Depth + weighted_rep_loss + optional projection energy loss,"lr=1e-4, bs=128, best_ep=20, FOA_L1=0.0104",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2413, AbsRel=0.4711, δ1=0.4831, Log10=0.1601, MAE=0.7994, FOA_COS=0.2033, FOA_DIR=-0.0007",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
"exp401 / n9_0424 (C, lsh0.05)",PASSED except exp390 viz crash noted separately,N9_0424 implicit sound-field projection fusion,binaural spectrogram; predicted rep_gt proxy,ERP depth + FOA/SH/energy auxiliary,"n9_0424 (C, lsh0.05)",Depth + weighted_rep_loss + optional projection energy loss,"lr=1e-4, bs=32, best_ep=20, FOA_L1=0.0101",renew_test or n4/ambisonic cache family 7027059baf06 per report_f/g,"RMSE=1.2606, AbsRel=0.4350, δ1=0.4984, Log10=0.1591, MAE=0.8000, FOA_COS=0.3621, FOA_DIR=0.0187",Report_f: renew v2 fixed FOA quality; radial parameterization hurts RMSE; n9_0424 FOA head weak/bug-audited.,exp390 visualization KeyboardInterrupt after metrics; older FOA eval bug possible for high FOA_L1 rows,KEEP,supplemental_reports
"exp400 / n4_0425 λ=0 (no sparsity, ceiling)",PASSED,N4 oracle bin-gated FOA conditioning,binaural spectrogram + oracle per-bin FOA rep_gt,ERP radial depth + optional rep/gate diagnostics,"UNet bottleneck ⊕ MLP(g⊙rep_gt); λ=0 (no sparsity, ceiling)",Depth + λ_sparsity*gate.mean; λ_sh mostly 0 in config,"λ_sp=0.00, lr=1e-4, bs=64, FOA_L1=0.0010",n4_test; ambisonic cache family 7027059baf06; 3192 samples / 9 scenes,"RMSE=1.2230, AbsRel=0.4649, δ1=0.5006, δ2=0.7140, δ3=0.8321, Log10=0.1557, MAE=0.7851, FOA_COS=0.9997, FOA_DIR=0.9937",Oracle FOA helps at most marginally by RMSE vs same-cache baselines; drop-bin analysis shows gauge/equilibrium issues; exp411 best δ1.,exp416 missing/no metrics; exp415/417/419 absent from report_g,KEEP,supplemental_reports
exp401 / n4_0425 λ=0.01,PASSED,N4 oracle bin-gated FOA conditioning,binaural spectrogram + oracle per-bin FOA rep_gt,ERP radial depth + optional rep/gate diagnostics,UNet bottleneck ⊕ MLP(g⊙rep_gt); λ=0.01,Depth + λ_sparsity*gate.mean; λ_sh mostly 0 in config,"λ_sp=0.01, lr=1e-4, bs=64, FOA_L1=0.0011",n4_test; ambisonic cache family 7027059baf06; 3192 samples / 9 scenes,"RMSE=1.2013, AbsRel=0.4568, δ1=0.4985, δ2=0.7149, δ3=0.8329, Log10=0.1551, MAE=0.7825, FOA_COS=0.9997, FOA_DIR=0.9937",Oracle FOA helps at most marginally by RMSE vs same-cache baselines; drop-bin analysis shows gauge/equilibrium issues; exp411 best δ1.,exp416 missing/no metrics; exp415/417/419 absent from report_g,KEEP,supplemental_reports
exp402 / n4_0425 λ=0.05 (best ABS),PASSED,N4 oracle bin-gated FOA conditioning,binaural spectrogram + oracle per-bin FOA rep_gt,ERP radial depth + optional rep/gate diagnostics,UNet bottleneck ⊕ MLP(g⊙rep_gt); λ=0.05 (best ABS),Depth + λ_sparsity*gate.mean; λ_sh mostly 0 in config,"λ_sp=0.05, lr=1e-4, bs=64, FOA_L1=0.0014",n4_test; ambisonic cache family 7027059baf06; 3192 samples / 9 scenes,"RMSE=1.2225, AbsRel=0.4235, δ1=0.4966, δ2=0.7137, δ3=0.8317, Log10=0.1552, MAE=0.7836, FOA_COS=0.9997, FOA_DIR=0.9937",Oracle FOA helps at most marginally by RMSE vs same-cache baselines; drop-bin analysis shows gauge/equilibrium issues; exp411 best δ1.,exp416 missing/no metrics; exp415/417/419 absent from report_g,KEEP,supplemental_reports
exp403 / n4_0425 λ=0.1 (config default),PASSED,N4 oracle bin-gated FOA conditioning,binaural spectrogram + oracle per-bin FOA rep_gt,ERP radial depth + optional rep/gate diagnostics,UNet bottleneck ⊕ MLP(g⊙rep_gt); λ=0.1 (config default),Depth + λ_sparsity*gate.mean; λ_sh mostly 0 in config,"λ_sp=0.10, lr=1e-4, bs=64, FOA_L1=0.0015",n4_test; ambisonic cache family 7027059baf06; 3192 samples / 9 scenes,"RMSE=1.2041, AbsRel=0.4561, δ1=0.4993, δ2=0.7136, δ3=0.8324, Log10=0.1555, MAE=0.7847, FOA_COS=0.9997, FOA_DIR=0.9937",Oracle FOA helps at most marginally by RMSE vs same-cache baselines; drop-bin analysis shows gauge/equilibrium issues; exp411 best δ1.,exp416 missing/no metrics; exp415/417/419 absent from report_g,KEEP,supplemental_reports
