path,type,reason,replacement_or_canonical_file,safe_to_delete,notes
logs/n1_test/exp242_n1_pvit_temap_lr5e5_lsh0.1_test.log,log,pre-radial era artifact for exp242,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0586, AbsRel=0.4556, δ1=0.5038"
checkpoints/pretrained_vit_foa_v6_oracle_nc3_soundspaces_BS32_Lr0.0001_AdamW_exp219_pvit_oracle_nc3_lr1e4_lsh0.1,checkpoint,pre-radial era artifact for exp219,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0612, AbsRel=0.4400, δ1=0.4947"
results/pretrained_vit_foa_v6_oracle_nc3_soundspaces_BS32_Lr0.0001_AdamW_exp219_pvit_oracle_nc3_lr1e4_lsh0.1,result,pre-radial era artifact for exp219,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0612, AbsRel=0.4400, δ1=0.4947"
logs/n3_train/exp219_pvit_oracle_nc3_lr1e4_lsh0.1.log,log,pre-radial era artifact for exp219,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0612, AbsRel=0.4400, δ1=0.4947"
logs/n3_test/exp219_pvit_oracle_nc3_lr1e4_lsh0.1_test.log,log,pre-radial era artifact for exp219,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0612, AbsRel=0.4400, δ1=0.4947"
results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp196_n2_dual_lr5e4_lsh0.1,result,pre-radial era artifact for exp196,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0614, AbsRel=0.4775, δ1=0.5112"
logs/n2_train/exp196_n2_dual_lr5e4_lsh0.1.log,log,pre-radial era artifact for exp196,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0614, AbsRel=0.4775, δ1=0.5112"
logs/n2_test/exp196_n2_dual_lr5e4_lsh0.1_test.log,log,pre-radial era artifact for exp196,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0614, AbsRel=0.4775, δ1=0.5112"
checkpoints/pvit_n1_temap_input_soundspaces_BS16_Lr0.0001_AdamW_exp243_n1_pvit_temap_lr1e4_lsh0.3,checkpoint,pre-radial era artifact for exp243,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0661, AbsRel=0.4265, δ1=0.4995"
results/pvit_n1_temap_input_soundspaces_BS16_Lr0.0001_AdamW_exp243_n1_pvit_temap_lr1e4_lsh0.3,result,pre-radial era artifact for exp243,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0661, AbsRel=0.4265, δ1=0.4995"
logs/n1_train/exp243_n1_pvit_temap_lr1e4_lsh0.3.log,log,pre-radial era artifact for exp243,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0661, AbsRel=0.4265, δ1=0.4995"
logs/n1_test/exp243_n1_pvit_temap_lr1e4_lsh0.3_test.log,log,pre-radial era artifact for exp243,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0661, AbsRel=0.4265, δ1=0.4995"
results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp187_n2_6ch_lr1e3_lsh0.1,result,pre-radial era artifact for exp187,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0713, AbsRel=0.4728, δ1=0.5111"
logs/n2_train/exp187_n2_6ch_lr1e3_lsh0.1.log,log,pre-radial era artifact for exp187,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0713, AbsRel=0.4728, δ1=0.5111"
logs/n2_test/exp187_n2_6ch_lr1e3_lsh0.1_test.log,log,pre-radial era artifact for exp187,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0713, AbsRel=0.4728, δ1=0.5111"
results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp195_n2_dual_lr1e3_lsh0.1,result,pre-radial era artifact for exp195,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0725, AbsRel=0.4642, δ1=0.5069"
logs/n2_train/exp195_n2_dual_lr1e3_lsh0.1.log,log,pre-radial era artifact for exp195,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0725, AbsRel=0.4642, δ1=0.5069"
logs/n2_test/exp195_n2_dual_lr1e3_lsh0.1_test.log,log,pre-radial era artifact for exp195,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0725, AbsRel=0.4642, δ1=0.5069"
checkpoints/pretrained_vit_foa_v3_soundspaces_BS32_Lr0.0001_AdamW_exp230_pvit_distill_lkd0.5,checkpoint,pre-radial era artifact for exp230,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0735, AbsRel=0.4834, δ1=0.5029"
results/pretrained_vit_foa_v3_soundspaces_BS32_Lr0.0001_AdamW_exp230_pvit_distill_lkd0.5,result,pre-radial era artifact for exp230,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0735, AbsRel=0.4834, δ1=0.5029"
logs/n3_train/exp230_pvit_distill_lkd0.5.log,log,pre-radial era artifact for exp230,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0735, AbsRel=0.4834, δ1=0.5029"
logs/n3_test/exp230_pvit_distill_lkd0.5_test.log,log,pre-radial era artifact for exp230,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0735, AbsRel=0.4834, δ1=0.5029"
results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp180_oracle_nc3_lr1e3_lsh0.3,result,pre-radial era artifact for exp180,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0741, AbsRel=0.4017, δ1=0.4817"
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp180_oracle_nc3_lr1e3_lsh0.3,result,pre-radial era artifact for exp180,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0741, AbsRel=0.4017, δ1=0.4817"
logs/summary_train/exp180_oracle_nc3_lr1e3_lsh0.3.log,log,pre-radial era artifact for exp180,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0741, AbsRel=0.4017, δ1=0.4817"
logs/summary_test/exp180_oracle_nc3_lr1e3_lsh0.3_test.log,log,pre-radial era artifact for exp180,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0741, AbsRel=0.4017, δ1=0.4817"
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp172_n3eattn_lr1e3_lsh0.1,result,pre-radial era artifact for exp172,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0744, AbsRel=0.4792, δ1=0.5030"
logs/summary_train/exp172_n3eattn_lr1e3_lsh0.1.log,log,pre-radial era artifact for exp172,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0744, AbsRel=0.4792, δ1=0.5030"
logs/summary_test/exp172_n3eattn_lr1e3_lsh0.1_test.log,log,pre-radial era artifact for exp172,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0744, AbsRel=0.4792, δ1=0.5030"
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp213_n3mssh_eattn_lr1e3_lsh0.1,checkpoint,pre-radial era artifact for exp213,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0777, AbsRel=0.4645, δ1=0.5017"
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp213_n3mssh_eattn_lr1e3_lsh0.1,result,pre-radial era artifact for exp213,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0777, AbsRel=0.4645, δ1=0.5017"
logs/n3_train/exp213_n3mssh_eattn_lr1e3_lsh0.1.log,log,pre-radial era artifact for exp213,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0777, AbsRel=0.4645, δ1=0.5017"
logs/n3_test/exp213_n3mssh_eattn_lr1e3_lsh0.1_test.log,log,pre-radial era artifact for exp213,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0777, AbsRel=0.4645, δ1=0.5017"
logs/summary_train/exp111_foa_lr1e3_dw1.0_fw0.1_hw0.1_freeze15.log,log,pre-radial era artifact for exp111,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0781, AbsRel=0.4535, δ1=0.4998"
logs/summary_test/exp111_foa_lr1e3_dw1.0_fw0.1_hw0.1_freeze15_test.log,log,pre-radial era artifact for exp111,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0781, AbsRel=0.4535, δ1=0.4998"
results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp189_n2_6ch_lr1e3_lsh0.3,result,pre-radial era artifact for exp189,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0781, AbsRel=0.4393, δ1=0.4974"
logs/n2_train/exp189_n2_6ch_lr1e3_lsh0.3.log,log,pre-radial era artifact for exp189,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0781, AbsRel=0.4393, δ1=0.4974"
logs/n2_test/exp189_n2_6ch_lr1e3_lsh0.3_test.log,log,pre-radial era artifact for exp189,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0781, AbsRel=0.4393, δ1=0.4974"
logs/summary_train/exp100_foa_lr1e3_fw0.15_hw0.1.log,log,pre-radial era artifact for exp100,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0793, AbsRel=0.5043, δ1=0.4821"
logs/summary_test/exp100_foa_lr1e3_fw0.15_hw0.1_test.log,log,pre-radial era artifact for exp100,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0793, AbsRel=0.5043, δ1=0.4821"
logs/summary_train/exp49_foa_lr1e3_dw1.0_fw0.1_hw0.05.log,log,pre-radial era artifact for exp49,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0803, AbsRel=0.4631, δ1=0.5023"
logs/summary_test/exp49_foa_lr1e3_dw1.0_fw0.1_hw0.05_test.log,log,pre-radial era artifact for exp49,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0803, AbsRel=0.4631, δ1=0.5023"
results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp192_n2_tenergy_lr1e3_lsh0.1,result,pre-radial era artifact for exp192,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0805, AbsRel=0.4734, δ1=0.4912"
logs/n2_train/exp192_n2_tenergy_lr1e3_lsh0.1.log,log,pre-radial era artifact for exp192,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0805, AbsRel=0.4734, δ1=0.4912"
logs/n2_test/exp192_n2_tenergy_lr1e3_lsh0.1_test.log,log,pre-radial era artifact for exp192,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0805, AbsRel=0.4734, δ1=0.4912"
checkpoints/pretrained_vit_foa_v3_soundspaces_BS32_Lr0.0001_AdamW_exp218_pvit_film_dw2_lr1e4_lsh0.1,checkpoint,pre-radial era artifact for exp218,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0805, AbsRel=0.4504, δ1=0.4867"
results/pretrained_vit_foa_v3_soundspaces_BS32_Lr0.0001_AdamW_exp218_pvit_film_dw2_lr1e4_lsh0.1,result,pre-radial era artifact for exp218,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0805, AbsRel=0.4504, δ1=0.4867"
logs/n3_train/exp218_pvit_film_dw2_lr1e4_lsh0.1.log,log,pre-radial era artifact for exp218,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0805, AbsRel=0.4504, δ1=0.4867"
logs/n3_test/exp218_pvit_film_dw2_lr1e4_lsh0.1_test.log,log,pre-radial era artifact for exp218,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0805, AbsRel=0.4504, δ1=0.4867"
results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp198_n2_stft_lr5e4_lsh0.1,result,pre-radial era artifact for exp198,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0807, AbsRel=0.4719, δ1=0.5108"
logs/n2_train/exp198_n2_stft_lr5e4_lsh0.1.log,log,pre-radial era artifact for exp198,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0807, AbsRel=0.4719, δ1=0.5108"
logs/n2_test/exp198_n2_stft_lr5e4_lsh0.1_test.log,log,pre-radial era artifact for exp198,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0807, AbsRel=0.4719, δ1=0.5108"
checkpoints/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp200_n2_trms_film_lr5e4_lsh0.1,checkpoint,pre-radial era artifact for exp200,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0808, AbsRel=0.4649, δ1=0.5016"
results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp200_n2_trms_film_lr5e4_lsh0.1,result,pre-radial era artifact for exp200,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0808, AbsRel=0.4649, δ1=0.5016"
logs/n2_train/exp200_n2_trms_film_lr5e4_lsh0.1.log,log,pre-radial era artifact for exp200,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0808, AbsRel=0.4649, δ1=0.5016"
logs/n2_test/exp200_n2_trms_film_lr5e4_lsh0.1_test.log,log,pre-radial era artifact for exp200,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0808, AbsRel=0.4649, δ1=0.5016"
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp225_n3mssh_freeze10_lr1e3_lsh0.3,checkpoint,pre-radial era artifact for exp225,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0811, AbsRel=0.4821, δ1=0.4958"
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp225_n3mssh_freeze10_lr1e3_lsh0.3,result,pre-radial era artifact for exp225,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0811, AbsRel=0.4821, δ1=0.4958"
logs/n3_train/exp225_n3mssh_freeze10_lr1e3_lsh0.3.log,log,pre-radial era artifact for exp225,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0811, AbsRel=0.4821, δ1=0.4958"
logs/n3_test/exp225_n3mssh_freeze10_lr1e3_lsh0.3_test.log,log,pre-radial era artifact for exp225,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0811, AbsRel=0.4821, δ1=0.4958"
checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp208_n3eattn_dw2_lr1e3_lsh0.1,checkpoint,pre-radial era artifact for exp208,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0813, AbsRel=0.5003, δ1=0.4829"
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp208_n3eattn_dw2_lr1e3_lsh0.1,result,pre-radial era artifact for exp208,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0813, AbsRel=0.5003, δ1=0.4829"
logs/n3_train/exp208_n3eattn_dw2_lr1e3_lsh0.1.log,log,pre-radial era artifact for exp208,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0813, AbsRel=0.5003, δ1=0.4829"
logs/n3_test/exp208_n3eattn_dw2_lr1e3_lsh0.1_test.log,log,pre-radial era artifact for exp208,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0813, AbsRel=0.5003, δ1=0.4829"
logs/summary_train/exp52_foa_lr5e4_dw1.0_fw0.2_hw0.2.log,log,pre-radial era artifact for exp52,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0814, AbsRel=0.4921, δ1=0.4933"
logs/summary_test/exp52_foa_lr5e4_dw1.0_fw0.2_hw0.2_test.log,log,pre-radial era artifact for exp52,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0814, AbsRel=0.4921, δ1=0.4933"
logs/summary_train/exp28_msattn_lr1e4_fw0.1.log,log,pre-radial era artifact for exp28,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0816, AbsRel=0.4917, δ1=0.4995"
logs/summary_test/exp28_msattn_lr1e4_fw0.1_test.log,log,pre-radial era artifact for exp28,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0816, AbsRel=0.4917, δ1=0.4995"
logs/summary_train/exp01_baseline_lr1e3_bs32.log,log,pre-radial era artifact for exp01,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0817, AbsRel=0.4553, δ1=0.5031"
logs/summary_test/exp01_baseline_lr1e3_bs32_test.log,log,pre-radial era artifact for exp01,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0817, AbsRel=0.4553, δ1=0.5031"
logs/summary_train/exp74_batvision_lr1e3_bs16.log,log,pre-radial era artifact for exp74,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0817, AbsRel=0.4652, δ1=0.4944"
logs/summary_test/exp74_batvision_lr1e3_bs16_test.log,log,pre-radial era artifact for exp74,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0817, AbsRel=0.4652, δ1=0.4944"
logs/summary_train/exp65_vit_lr3e5_bs16.log,log,pre-radial era artifact for exp65,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0818, AbsRel=0.4467, δ1=0.4959"
logs/summary_test/exp65_vit_lr3e5_bs16_test.log,log,pre-radial era artifact for exp65,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0818, AbsRel=0.4467, δ1=0.4959"
results/pretrained_vit_foa_soundspaces_BS16_Lr0.0001_AdamW_exp160_pvitfoa_lr1e4_lsh0.1,result,pre-radial era artifact for exp160,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0820, AbsRel=0.4619, δ1=0.4948"
results/pretrained_vit_foa_soundspaces_BS16_Lr0.0001_AdamW_exp160_pvitfoav1_lr1e4_w0.1,result,pre-radial era artifact for exp160,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0820, AbsRel=0.4619, δ1=0.4948"
logs/summary_train/exp160_pvitfoav1_lr1e4_w0.1.log,log,pre-radial era artifact for exp160,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0820, AbsRel=0.4619, δ1=0.4948"
logs/summary_test/exp160_pvitfoav1_lr1e4_w0.1_test.log,log,pre-radial era artifact for exp160,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0820, AbsRel=0.4619, δ1=0.4948"
logs/summary_train/exp107_foa_lr5e4_fw0.3_hw0.1.log,log,pre-radial era artifact for exp107,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0824, AbsRel=0.4574, δ1=0.4945"
