run_id,model_name,role,era,config_path,log_path,checkpoint_path,result_path,qualitative_path,git_commit,status,notes
exp187,N2 direct FOA spectrogram input,ours,pre-radial,config/foa.yaml,logs/n2_train/exp187_n2_6ch_lr1e3_lsh0.1.log;logs/n2_test/exp187_n2_6ch_lr1e3_lsh0.1_test.log,,results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp187_n2_6ch_lr1e3_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0713, AbsRel=0.4728, δ1=0.5111"
exp195,N2 dual encoder,ours,pre-radial,,logs/n2_train/exp195_n2_dual_lr1e3_lsh0.1.log;logs/n2_test/exp195_n2_dual_lr1e3_lsh0.1_test.log,,results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp195_n2_dual_lr1e3_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0725, AbsRel=0.4642, δ1=0.5069"
exp230,Distillation from oracle,ablation,pre-radial,config/vit.yaml,logs/n3_train/exp230_pvit_distill_lkd0.5.log;logs/n3_test/exp230_pvit_distill_lkd0.5_test.log,checkpoints/pretrained_vit_foa_v3_soundspaces_BS32_Lr0.0001_AdamW_exp230_pvit_distill_lkd0.5,results/pretrained_vit_foa_v3_soundspaces_BS32_Lr0.0001_AdamW_exp230_pvit_distill_lkd0.5,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0735, AbsRel=0.4834, δ1=0.5029"
exp180,FOA oracle nc3,ablation,pre-radial,config/foa.yaml,logs/summary_train/exp180_oracle_nc3_lr1e3_lsh0.3.log;logs/summary_test/exp180_oracle_nc3_lr1e3_lsh0.3_test.log,,results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp180_oracle_nc3_lr1e3_lsh0.3;results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp180_oracle_nc3_lr1e3_lsh0.3,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0741, AbsRel=0.4017, δ1=0.4817"
exp172,N3 energy attention,ours,pre-radial,,logs/summary_train/exp172_n3eattn_lr1e3_lsh0.1.log;logs/summary_test/exp172_n3eattn_lr1e3_lsh0.1_test.log,,results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp172_n3eattn_lr1e3_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0744, AbsRel=0.4792, δ1=0.5030"
exp213,N3 MSSH + energy attention,ours,pre-radial,,logs/n3_train/exp213_n3mssh_eattn_lr1e3_lsh0.1.log;logs/n3_test/exp213_n3mssh_eattn_lr1e3_lsh0.1_test.log,checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp213_n3mssh_eattn_lr1e3_lsh0.1,results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp213_n3mssh_eattn_lr1e3_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0777, AbsRel=0.4645, δ1=0.5017"
exp111,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp111_foa_lr1e3_dw1.0_fw0.1_hw0.1_freeze15.log;logs/summary_test/exp111_foa_lr1e3_dw1.0_fw0.1_hw0.1_freeze15_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0781, AbsRel=0.4535, δ1=0.4998"
exp189,N2 direct FOA spectrogram input,ours,pre-radial,config/foa.yaml,logs/n2_train/exp189_n2_6ch_lr1e3_lsh0.3.log;logs/n2_test/exp189_n2_6ch_lr1e3_lsh0.3_test.log,,results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp189_n2_6ch_lr1e3_lsh0.3,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0781, AbsRel=0.4393, δ1=0.4974"
exp100,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp100_foa_lr1e3_fw0.15_hw0.1.log;logs/summary_test/exp100_foa_lr1e3_fw0.15_hw0.1_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0793, AbsRel=0.5043, δ1=0.4821"
exp49,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp49_foa_lr1e3_dw1.0_fw0.1_hw0.05.log;logs/summary_test/exp49_foa_lr1e3_dw1.0_fw0.1_hw0.05_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0803, AbsRel=0.4631, δ1=0.5023"
exp192,Temporal energy attention/supervision,ours,pre-radial,,logs/n2_train/exp192_n2_tenergy_lr1e3_lsh0.1.log;logs/n2_test/exp192_n2_tenergy_lr1e3_lsh0.1_test.log,,results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp192_n2_tenergy_lr1e3_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0805, AbsRel=0.4734, δ1=0.4912"
exp218,N3 FiLM,ours,pre-radial,config/vit.yaml,logs/n3_train/exp218_pvit_film_dw2_lr1e4_lsh0.1.log;logs/n3_test/exp218_pvit_film_dw2_lr1e4_lsh0.1_test.log,checkpoints/pretrained_vit_foa_v3_soundspaces_BS32_Lr0.0001_AdamW_exp218_pvit_film_dw2_lr1e4_lsh0.1,results/pretrained_vit_foa_v3_soundspaces_BS32_Lr0.0001_AdamW_exp218_pvit_film_dw2_lr1e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0805, AbsRel=0.4504, δ1=0.4867"
exp198,N2 FOA STFT FiLM,ours,pre-radial,config/foa.yaml,logs/n2_train/exp198_n2_stft_lr5e4_lsh0.1.log;logs/n2_test/exp198_n2_stft_lr5e4_lsh0.1_test.log,,results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp198_n2_stft_lr5e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0807, AbsRel=0.4719, δ1=0.5108"
exp200,Temporal RMS FiLM,ours,pre-radial,,logs/n2_train/exp200_n2_trms_film_lr5e4_lsh0.1.log;logs/n2_test/exp200_n2_trms_film_lr5e4_lsh0.1_test.log,checkpoints/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp200_n2_trms_film_lr5e4_lsh0.1,results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp200_n2_trms_film_lr5e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0808, AbsRel=0.4649, δ1=0.5016"
exp225,N3 multi-scale SH,ours,pre-radial,,logs/n3_train/exp225_n3mssh_freeze10_lr1e3_lsh0.3.log;logs/n3_test/exp225_n3mssh_freeze10_lr1e3_lsh0.3_test.log,checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp225_n3mssh_freeze10_lr1e3_lsh0.3,results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp225_n3mssh_freeze10_lr1e3_lsh0.3,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0811, AbsRel=0.4821, δ1=0.4958"
exp208,N3 energy attention,ours,pre-radial,,logs/n3_train/exp208_n3eattn_dw2_lr1e3_lsh0.1.log;logs/n3_test/exp208_n3eattn_dw2_lr1e3_lsh0.1_test.log,checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp208_n3eattn_dw2_lr1e3_lsh0.1,results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp208_n3eattn_dw2_lr1e3_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0813, AbsRel=0.5003, δ1=0.4829"
exp52,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp52_foa_lr5e4_dw1.0_fw0.2_hw0.2.log;logs/summary_test/exp52_foa_lr5e4_dw1.0_fw0.2_hw0.2_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0814, AbsRel=0.4921, δ1=0.4933"
exp28,FOA multi-scale attention,ours,pre-radial,config/foa.yaml,logs/summary_train/exp28_msattn_lr1e4_fw0.1.log;logs/summary_test/exp28_msattn_lr1e4_fw0.1_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0816, AbsRel=0.4917, δ1=0.4995"
exp01,Baseline UNet,ours,pre-radial,config/baseline.yaml,logs/summary_train/exp01_baseline_lr1e3_bs32.log;logs/summary_test/exp01_baseline_lr1e3_bs32_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0817, AbsRel=0.4553, δ1=0.5031"
exp74,BatVision UNet,comparison_baseline,pre-radial,config/batvision.yaml,logs/summary_train/exp74_batvision_lr1e3_bs16.log;logs/summary_test/exp74_batvision_lr1e3_bs16_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0817, AbsRel=0.4652, δ1=0.4944"
exp65,ViT from scratch,ours,pre-radial,config/vit.yaml,logs/summary_train/exp65_vit_lr3e5_bs16.log;logs/summary_test/exp65_vit_lr3e5_bs16_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0818, AbsRel=0.4467, δ1=0.4959"
exp160,Pretrained ViT + FOA aux,pretrained_backbone,pre-radial,config/foa.yaml,logs/summary_train/exp160_pvitfoav1_lr1e4_w0.1.log;logs/summary_test/exp160_pvitfoav1_lr1e4_w0.1_test.log,,results/pretrained_vit_foa_soundspaces_BS16_Lr0.0001_AdamW_exp160_pvitfoa_lr1e4_lsh0.1;results/pretrained_vit_foa_soundspaces_BS16_Lr0.0001_AdamW_exp160_pvitfoav1_lr1e4_w0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0820, AbsRel=0.4619, δ1=0.4948"
exp107,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp107_foa_lr5e4_fw0.3_hw0.1.log;logs/summary_test/exp107_foa_lr5e4_fw0.3_hw0.1_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0824, AbsRel=0.4574, δ1=0.4945"
exp61,ViT from scratch,ours,pre-radial,config/vit.yaml,logs/summary_train/exp61_vit_lr1e4_bs16.log;logs/summary_test/exp61_vit_lr1e4_bs16_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0824, AbsRel=0.4496, δ1=0.4989"
exp174,N3 energy attention,ours,pre-radial,,logs/summary_train/exp174_n3eattn_lr1e3_lsh0.3.log;logs/summary_test/exp174_n3eattn_lr1e3_lsh0.3_test.log,,results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp174_n3eattn_lr1e3_lsh0.3,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0835, AbsRel=0.4767, δ1=0.4836"
exp71,BatVision UNet,comparison_baseline,pre-radial,config/batvision.yaml,logs/summary_train/exp71_batvision_lr1e3_bs32.log;logs/summary_test/exp71_batvision_lr1e3_bs32_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0835, AbsRel=0.4430, δ1=0.4897"
exp226,N3 multi-scale SH,ours,pre-radial,,logs/n3_train/exp226_n3mssh_dw2_lr1e3_lsh0.3.log;logs/n3_test/exp226_n3mssh_dw2_lr1e3_lsh0.3_test.log,checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp226_n3mssh_dw2_lr1e3_lsh0.3,results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp226_n3mssh_dw2_lr1e3_lsh0.3,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0845, AbsRel=0.4396, δ1=0.4947"
exp20,FOA cross-attention,ours,pre-radial,config/foa.yaml,logs/summary_train/exp20_crossattn_lr5e4_fw0.2.log;logs/summary_test/exp20_crossattn_lr5e4_fw0.2_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0850, AbsRel=0.4735, δ1=0.4931"
exp125,EchoDiffusion,comparison_baseline,pre-radial,config/echodiffusion.yaml,logs/summary_train/exp125_echodiff_wav2vec_lr1e4_bs8.log;logs/summary_test/exp125_echodiff_wav2vec_lr1e4_bs8_test.log,,results/echodiffusion_soundspaces_BS8_Lr0.0001_AdamW_exp125_echodiff_wav2vec_lr1e4_bs8,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0852, AbsRel=0.4750, δ1=0.4994"
exp215,Distillation from oracle,ablation,pre-radial,,logs/n3_train/exp215_n3eattn_distill_lkd0.5.log;logs/n3_test/exp215_n3eattn_distill_lkd0.5_test.log,checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp215_n3eattn_distill_lkd0.5,results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp215_n3eattn_distill_lkd0.5,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0853, AbsRel=0.4288, δ1=0.4943"
exp120,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp120_foa_lr5e4_fw0.05_hw0.1_freeze5.log;logs/summary_test/exp120_foa_lr5e4_fw0.05_hw0.1_freeze5_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0858, AbsRel=0.4568, δ1=0.4884"
exp50,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp50_foa_lr1e3_dw1.0_fw0.1_hw0.1_freeze5.log;logs/summary_test/exp50_foa_lr1e3_dw1.0_fw0.1_hw0.1_freeze5_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0858, AbsRel=0.4691, δ1=0.4860"
exp173,N3 energy attention,ours,pre-radial,,logs/summary_train/exp173_n3eattn_lr5e4_lsh0.1.log;logs/summary_test/exp173_n3eattn_lr5e4_lsh0.1_test.log,,results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp173_n3eattn_lr5e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0859, AbsRel=0.4511, δ1=0.4866"
exp216,N3 energy attention,ours,pre-radial,config/vit.yaml,logs/n3_train/exp216_pvit_eattn_lr1e4_lsh0.1.log;logs/n3_test/exp216_pvit_eattn_lr1e4_lsh0.1_test.log,checkpoints/pretrained_vit_foa_v6_eattn_soundspaces_BS32_Lr0.0001_AdamW_exp216_pvit_eattn_lr1e4_lsh0.1,results/pretrained_vit_foa_v6_eattn_soundspaces_BS32_Lr0.0001_AdamW_exp216_pvit_eattn_lr1e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0863, AbsRel=0.4639, δ1=0.4974"
exp96,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp96_foa_lr2e4_dw1.0_fw0.1_hw0.1.log;logs/summary_test/exp96_foa_lr2e4_dw1.0_fw0.1_hw0.1_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0866, AbsRel=0.4752, δ1=0.4929"
exp23,FOA feature bank,ours,pre-radial,config/foa.yaml,logs/summary_train/exp23_featbank_lr1e4_fw0.1.log;logs/summary_test/exp23_featbank_lr1e4_fw0.1_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0869, AbsRel=0.4913, δ1=0.4977"
exp214,N3 energy attention SH9,ours,pre-radial,,logs/n3_train/exp214_n3eattn_sh9_lr1e3_lsh0.1.log;logs/n3_test/exp214_n3eattn_sh9_lr1e3_lsh0.1_test.log,checkpoints/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp214_n3eattn_sh9_lr1e3_lsh0.1,results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp214_n3eattn_sh9_lr1e3_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0870, AbsRel=0.4373, δ1=0.4954"
exp44,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp44_foa_lr5e4_dw1.0_fw0.1_hw0.2.log;logs/summary_test/exp44_foa_lr5e4_dw1.0_fw0.1_hw0.2_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0871, AbsRel=0.4781, δ1=0.4986"
exp109,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp109_foa_lr1e3_dw1.0_fw0.2_hw0.2_freeze5.log;logs/summary_test/exp109_foa_lr1e3_dw1.0_fw0.2_hw0.2_freeze5_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0873, AbsRel=0.4889, δ1=0.4923"
exp188,N2 direct FOA spectrogram input,ours,pre-radial,config/foa.yaml,logs/n2_train/exp188_n2_6ch_lr5e4_lsh0.1.log;logs/n2_test/exp188_n2_6ch_lr5e4_lsh0.1_test.log,,results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp188_n2_6ch_lr5e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0875, AbsRel=0.4444, δ1=0.4983"
exp41,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp41_foa_lr1e3_dw1.0_fw0.2_hw0.1.log;logs/summary_test/exp41_foa_lr1e3_dw1.0_fw0.2_hw0.1_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0875, AbsRel=0.4568, δ1=0.4900"
exp170,N3 multi-scale SH,ours,pre-radial,,logs/summary_train/exp170_n3mssh_lr5e4_lsh0.1.log;logs/summary_test/exp170_n3mssh_lr5e4_lsh0.1_test.log,,results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp170_n3mssh_lr5e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0878, AbsRel=0.4676, δ1=0.4985"
exp16,FOA cross-attention,ours,pre-radial,config/foa.yaml,logs/summary_train/exp16_crossattn_lr1e3_fw0.1.log;logs/summary_test/exp16_crossattn_lr1e3_fw0.1_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0880, AbsRel=0.4570, δ1=0.4958"
exp51,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp51_foa_lr1e3_dw1.0_fw0.1_hw0.1_freeze10.log;logs/summary_test/exp51_foa_lr1e3_dw1.0_fw0.1_hw0.1_freeze10_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0881, AbsRel=0.4839, δ1=0.4913"
exp105,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp105_foa_lr1e3_fw0.3_hw0.1.log;logs/summary_test/exp105_foa_lr1e3_fw0.3_hw0.1_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0884, AbsRel=0.4638, δ1=0.4940"
exp36,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp36_foa_lr1e3_dw1.0_fw0.1_hw0.1.log;logs/summary_test/exp36_foa_lr1e3_dw1.0_fw0.1_hw0.1_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0884, AbsRel=0.4850, δ1=0.4943"
exp186,N3 energy attention,ours,pre-radial,,logs/summary_train/exp186_n3eattn_lr1e3_lsh0.5.log;logs/summary_test/exp186_n3eattn_lr1e3_lsh0.5_test.log,,results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp186_n3eattn_lr1e3_lsh0.5,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0885, AbsRel=0.4504, δ1=0.4893"
exp48,Original FOA UNet,ours,pre-radial,config/foa.yaml,logs/summary_train/exp48_foa_lr1e3_dw1.0_fw0.05_hw0.1.log;logs/summary_test/exp48_foa_lr1e3_dw1.0_fw0.05_hw0.1_test.log,,,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0886, AbsRel=0.4625, δ1=0.4920"
